,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,healthy_CM,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.82826
1,vCM_4,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.82576
2,intermediate_CM,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.825527
3,damaged_CM,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.777134
4,CD8,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.746933
5,Adipo,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.733856
6,vCM_3,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.72933
7,perivascular_fibroblasts,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.72909
8,SPP1_Macrophages,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.728073
9,prolif,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.72757
10,CD4,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.72653
11,Pericyte_2,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.724926
12,NK,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.72175
13,Lymphatic_Endo,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.721638
14,Capillary_Endo,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.718464
15,Fib_0,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.717983
16,Mast,intermediate_CM,Ligand,Receptor,CALM1,RYR2,34.717113
17,healthy_CM,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.85923
18,vCM_4,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.85673
19,intermediate_CM,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.8565
20,damaged_CM,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.808105
21,CD8,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.777905
22,Adipo,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.764828
23,vCM_3,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.7603
24,perivascular_fibroblasts,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.760063
25,SPP1_Macrophages,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.759045
26,prolif,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.75854
27,CD4,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.7575
28,Pericyte_2,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.755898
29,NK,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.75272
30,Lymphatic_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.75261
31,Capillary_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.749435
32,Fib_0,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.748955
33,Mast,healthy_CM,Ligand,Receptor,CALM1,RYR2,32.748085
34,healthy_CM,vCM_4,Ligand,Receptor,CALM1,RYR2,31.149158
35,vCM_4,vCM_4,Ligand,Receptor,CALM1,RYR2,31.14666
36,intermediate_CM,vCM_4,Ligand,Receptor,CALM1,RYR2,31.146427
37,damaged_CM,vCM_4,Ligand,Receptor,CALM1,RYR2,31.098036
38,CD8,vCM_4,Ligand,Receptor,CALM1,RYR2,31.067833
39,Adipo,vCM_4,Ligand,Receptor,CALM1,RYR2,31.054754
40,vCM_3,vCM_4,Ligand,Receptor,CALM1,RYR2,31.050228
41,perivascular_fibroblasts,vCM_4,Ligand,Receptor,CALM1,RYR2,31.049994
42,SPP1_Macrophages,vCM_4,Ligand,Receptor,CALM1,RYR2,31.048971
43,prolif,vCM_4,Ligand,Receptor,CALM1,RYR2,31.04847
44,CD4,vCM_4,Ligand,Receptor,CALM1,RYR2,31.047428
45,Pericyte_2,vCM_4,Ligand,Receptor,CALM1,RYR2,31.045826
46,NK,vCM_4,Ligand,Receptor,CALM1,RYR2,31.042648
47,Lymphatic_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,31.042536
48,Capillary_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,31.039364
49,Fib_0,vCM_4,Ligand,Receptor,CALM1,RYR2,31.038881
50,Mast,vCM_4,Ligand,Receptor,CALM1,RYR2,31.038013
51,healthy_CM,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.476221
52,vCM_4,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.473722
53,intermediate_CM,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.47349
54,damaged_CM,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.425098
55,CD8,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.394896
56,Adipo,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.381817
57,vCM_3,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.37729
58,perivascular_fibroblasts,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.377056
59,SPP1_Macrophages,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.376034
60,prolif,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.375532
61,CD4,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.37449
62,Pericyte_2,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.372889
63,NK,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.36971
64,Lymphatic_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.369598
65,Capillary_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.366426
66,Fib_0,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.365944
67,Mast,damaged_CM,Ligand,Receptor,CALM1,RYR2,20.365076
68,damaged_CM,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,17.869196
69,damaged_CM,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,17.47322
70,intermediate_CM,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,17.375011
71,vCM_4,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,17.109316
72,intermediate_CM,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,16.979036
73,vCM_4,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,16.71334
74,healthy_CM,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,16.504332
75,healthy_CM,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,16.108356
76,vCM_3,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,15.271008
77,NK_T,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.926817
78,vCM_3,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.875032
79,Pericyte_2,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.864317
80,Pericyte_2,intermediate_CM,Ligand,Receptor,RIMS1,CACNA1C,14.864317
81,vCM_4,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.725984
82,NK,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.709656
83,damaged_CM,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.702542
84,Fib_0,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.693761
85,perivascular_fibroblasts,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.680984
86,vSMCs_1,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.678878
87,intermediate_CM,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.677152
88,healthy_CM,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.67142
89,Fib_SCARA5,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.660919
90,healthy_CM,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.655149
91,vCM_4,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.65265
92,intermediate_CM,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.652419
93,vSMCs_2,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.648047
94,LYVE_FOLR_Macrophages,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.641029
95,Lymphatic_Endo,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.636685
96,prolif,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.619393
97,Pericyte_1,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.61766
98,Myofib,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.616698
99,Monocytes,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.609357
100,Adipo,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.608364
101,Fib_3,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.607823
102,LYVE_PLTP_Macrophages,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.604827
103,damaged_CM,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.604027
104,Endocardial_Endo,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.600745
105,vCM_3,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.598472
106,damaged_CM,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,14.596394
107,Mast,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.594786
108,vSMCs_2,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.592491
109,Capillary_Endo,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.586418
110,Venous_Endo,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.581339
111,CCL18_Macrophages,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.577196
112,CD4,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.575855
113,prolif,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.575823
114,CD8,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.573824
115,perivascular_fibroblasts,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.57265
116,Arterial_Endo,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.568762
117,LYVE_FOLR_Macrophages,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.566805
118,Fib_0,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.564379
119,SPP1_Macrophages,intermediate_CM,Ligand,Receptor,NCAM1,CACNA1C,14.563715
120,Adipo,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.560745
121,vSMCs_1,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.557999
122,vCM_3,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.556218
123,perivascular_fibroblasts,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.555984
124,CCL18_Macrophages,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.554974
125,SPP1_Macrophages,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.554962
126,prolif,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.554461
127,CD4,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.553419
128,Adipo,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.552809
129,NK_T,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.551817
130,Pericyte_2,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.551817
131,Pericyte_1,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.549478
132,NK,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.548639
133,Lymphatic_Endo,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.548528
134,LYVE_PLTP_Macrophages,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.548428
135,Myofib,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.546485
136,Venous_Endo,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.545527
137,Capillary_Endo,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.545356
138,Fib_0,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.544872
139,SPP1_Macrophages,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.544022
140,Mast,intermediate_CM,Ligand,Receptor,CALM1,CACNA1C,14.544004
141,Mast,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.544004
142,Monocytes,intermediate_CM,Ligand,Receptor,CALM2,CACNA1C,14.54388
143,NK_T,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.530842
144,Pericyte_2,vCM_4,Ligand,Receptor,RIMS1,CACNA1C,14.468342
145,Pericyte_2,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.468342
146,vCM_4,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.3300085
147,NK,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.313681
148,damaged_CM,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.306567
149,Fib_0,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.297786
150,perivascular_fibroblasts,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.285008
151,vSMCs_1,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.282903
152,intermediate_CM,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.281177
153,healthy_CM,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.275445
154,Fib_SCARA5,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.264944
155,healthy_CM,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.259174
156,vCM_4,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.256675
157,intermediate_CM,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.256444
158,vSMCs_2,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.252072
159,LYVE_FOLR_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.245054
160,Lymphatic_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.24071
161,prolif,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.223418
162,Pericyte_1,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.221684
163,Myofib,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.220723
164,Monocytes,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.213382
165,Adipo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.212389
166,Fib_3,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.211848
167,LYVE_PLTP_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.208852
168,damaged_CM,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.208052
169,Endocardial_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.20477
170,vCM_3,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.202497
171,Mast,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.198811
172,vSMCs_2,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.196516
173,Capillary_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.190443
174,Venous_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.185364
175,CCL18_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.181221
176,CD4,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.17988
177,prolif,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.179848
178,CD8,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.177849
179,perivascular_fibroblasts,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.176675
180,Arterial_Endo,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.172787
181,LYVE_FOLR_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.17083
182,Fib_0,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.168404
183,SPP1_Macrophages,vCM_4,Ligand,Receptor,NCAM1,CACNA1C,14.16774
184,Adipo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.16477
185,vSMCs_1,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.162024
186,vCM_3,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.160243
187,perivascular_fibroblasts,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.160008
188,CCL18_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.1589985
189,SPP1_Macrophages,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.158987
190,prolif,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.158485
191,CD4,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.157444
192,Adipo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.156834
193,NK_T,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.155842
194,Pericyte_2,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.155842
195,Pericyte_1,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.153502
196,NK,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.152664
197,Lymphatic_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.152553
198,LYVE_PLTP_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.152452
199,Myofib,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.15051
200,Venous_Endo,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.149552
201,Capillary_Endo,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.149381
202,Fib_0,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.148897
203,SPP1_Macrophages,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.1480465
204,Mast,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.148029
205,Mast,vCM_4,Ligand,Receptor,CALM1,CACNA1C,14.148029
206,Monocytes,vCM_4,Ligand,Receptor,CALM2,CACNA1C,14.147905
207,intermediate_CM,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,14.102208
208,vCM_4,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,13.836513
209,healthy_CM,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,13.231529
210,damaged_CM,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,12.829941
211,healthy_CM,vCM_3,Ligand,Receptor,CALM1,RYR2,12.806677
212,vCM_4,vCM_3,Ligand,Receptor,CALM1,RYR2,12.804177
213,intermediate_CM,vCM_3,Ligand,Receptor,CALM1,RYR2,12.8039465
214,damaged_CM,vCM_3,Ligand,Receptor,CALM1,RYR2,12.755554
215,CD8,vCM_3,Ligand,Receptor,CALM1,RYR2,12.725351
216,Adipo,vCM_3,Ligand,Receptor,CALM1,RYR2,12.712273
217,vCM_3,vCM_3,Ligand,Receptor,CALM1,RYR2,12.707746
218,perivascular_fibroblasts,vCM_3,Ligand,Receptor,CALM1,RYR2,12.707511
219,SPP1_Macrophages,vCM_3,Ligand,Receptor,CALM1,RYR2,12.70649
220,prolif,vCM_3,Ligand,Receptor,CALM1,RYR2,12.705988
221,CD4,vCM_3,Ligand,Receptor,CALM1,RYR2,12.7049465
222,Pericyte_2,vCM_3,Ligand,Receptor,CALM1,RYR2,12.703344
223,NK,vCM_3,Ligand,Receptor,CALM1,RYR2,12.700167
224,Lymphatic_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,12.700055
225,Capillary_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,12.696883
226,Fib_0,vCM_3,Ligand,Receptor,CALM1,RYR2,12.6964
227,Mast,vCM_3,Ligand,Receptor,CALM1,RYR2,12.695532
228,intermediate_CM,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,12.335756
229,vCM_4,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,12.070061
230,vCM_3,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.998204
231,NK_T,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.654014
232,Pericyte_2,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.591514
233,Pericyte_2,healthy_CM,Ligand,Receptor,RIMS1,CACNA1C,11.591514
234,healthy_CM,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,11.465077
235,vCM_4,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.45318
236,NK,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.436852
237,damaged_CM,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.429739
238,Fib_0,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.420958
239,perivascular_fibroblasts,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.40818
240,vSMCs_1,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.406075
241,intermediate_CM,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.404348
242,healthy_CM,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.398617
243,Fib_SCARA5,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.388116
244,healthy_CM,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.382346
245,vCM_4,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.379847
246,intermediate_CM,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.379616
247,vSMCs_2,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.375244
248,LYVE_FOLR_Macrophages,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.368226
249,Lymphatic_Endo,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.363882
250,prolif,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.34659
251,Pericyte_1,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.344856
252,Myofib,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.343895
253,Monocytes,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.336554
254,Adipo,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.335561
255,Fib_3,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.33502
256,LYVE_PLTP_Macrophages,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.332024
257,damaged_CM,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.3312235
258,Endocardial_Endo,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.327942
259,vCM_3,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.325668
260,Mast,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.321982
261,vSMCs_2,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.319688
262,Capillary_Endo,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.313615
263,Venous_Endo,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.308536
264,CCL18_Macrophages,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.304393
265,CD4,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.303052
266,prolif,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.30302
267,CD8,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.301021
268,perivascular_fibroblasts,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.299847
269,Arterial_Endo,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.2959585
270,LYVE_FOLR_Macrophages,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.294002
271,Fib_0,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.291575
272,SPP1_Macrophages,healthy_CM,Ligand,Receptor,NCAM1,CACNA1C,11.290912
273,Adipo,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.287942
274,vSMCs_1,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.285195
275,vCM_3,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.283415
276,perivascular_fibroblasts,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.28318
277,CCL18_Macrophages,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.28217
278,SPP1_Macrophages,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.282159
279,prolif,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.281657
