,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,intermediate_CM,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.54564
1,healthy_CM,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.45596
2,vCM_4,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.3787
3,damaged_CM,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.37091
4,Pericyte_2,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.35756
5,Endocardial_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.34975
6,Capillary_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.3231
7,vCM_3,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.31111
8,Arterial_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.29611
9,prolif,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.2782
10,perivascular_fibroblasts,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.26562
11,Venous_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.26553
12,NK_T,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.2599
13,Purkinje_fibers,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.25786
14,Adipo,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.25719
15,Fib_SCARA5,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.2529
16,Neuronal,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.25208
17,Myofib,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.24713
18,Fib_0,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.24478
19,intermediate_CM,healthy_CM,Ligand,Receptor,S100A1,RYR2,132.24231
20,CD4,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.23584
21,vSMCs_1,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.23515
22,Mast,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.23306
23,LYVE_FOLR_Macrophages,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.23068
24,CD8,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.23029
25,Lymphatic_Endo,healthy_CM,Ligand,Receptor,CALM1,RYR2,132.22958
